index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
2-palmitoleoyl-GPC (16:1)*#Lipid#Lysophospholipid,2-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid,2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC (16:1)*,NA,2-palmitoleoyl-GPC (16:1)*,NA,NA,2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC (16:1)*,NA,NA,2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC (16:1)*
2-palmitoyl-GPC (16:0)*#Lipid#Lysophospholipid,2-palmitoyl-GPC (16:0)*,Lipid,Lysophospholipid,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC (16:0)*,NA,2-palmitoyl-GPC (16:0)*,NA,2-palmitoyl-GPC (16:0)*,NA,NA,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC (16:0)*
1-oleoyl-GPG (18:1)*#Lipid#Lysophospholipid,1-oleoyl-GPG (18:1)*,Lipid,Lysophospholipid,NA,NA,NA,1-oleoyl-GPG (18:1)*,NA,1-oleoyl-GPG (18:1)*,NA,NA,NA,NA,NA,NA,1-oleoyl-GPG (18:1)*,1-oleoyl-GPG (18:1)*,1-oleoyl-GPG (18:1)*
1-oleoyl-GPI (18:1)#Lipid#Lysophospholipid,1-oleoyl-GPI (18:1),Lipid,Lysophospholipid,NA,NA,NA,1-oleoyl-GPI (18:1),NA,1-oleoyl-GPI (18:1),NA,NA,NA,1-oleoyl-GPI (18:1),1-oleoyl-GPI (18:1),1-oleoyl-GPI (18:1),1-oleoyl-GPI (18:1),1-oleoyl-GPI (18:1),1-oleoyl-GPI (18:1)
1-oleoyl-GPS (18:1)#Lipid#Lysophospholipid,1-oleoyl-GPS (18:1),Lipid,Lysophospholipid,NA,NA,NA,1-oleoyl-GPS (18:1),NA,1-oleoyl-GPS (18:1),NA,NA,NA,NA,1-oleoyl-GPS (18:1),1-oleoyl-GPS (18:1),1-oleoyl-GPS (18:1),1-oleoyl-GPS (18:1),1-oleoyl-GPS (18:1)
1-palmitoyl-GPG (16:0)*#Lipid#Lysophospholipid,1-palmitoyl-GPG (16:0)*,Lipid,Lysophospholipid,NA,NA,NA,1-palmitoyl-GPG (16:0)*,NA,1-palmitoyl-GPG (16:0)*,NA,NA,NA,NA,NA,NA,1-palmitoyl-GPG (16:0)*,1-palmitoyl-GPG (16:0)*,1-palmitoyl-GPG (16:0)*
1-stearoyl-GPG (18:0)#Lipid#Lysophospholipid,1-stearoyl-GPG (18:0),Lipid,Lysophospholipid,NA,NA,NA,1-stearoyl-GPG (18:0),NA,1-stearoyl-GPG (18:0),NA,NA,NA,NA,1-stearoyl-GPG (18:0),NA,1-stearoyl-GPG (18:0),1-stearoyl-GPG (18:0),1-stearoyl-GPG (18:0)
1-stearoyl-GPS (18:0)*#Lipid#Lysophospholipid,1-stearoyl-GPS (18:0)*,Lipid,Lysophospholipid,NA,NA,NA,1-stearoyl-GPS (18:0)*,NA,1-stearoyl-GPS (18:0)*,NA,NA,NA,NA,NA,NA,1-stearoyl-GPS (18:0)*,1-stearoyl-GPS (18:0)*,1-stearoyl-GPS (18:0)*
1-linoleoyl-GPI (18:2)*#Lipid#Lysophospholipid,1-linoleoyl-GPI (18:2)*,Lipid,Lysophospholipid,NA,NA,NA,1-linoleoyl-GPI (18:2)*,NA,1-linoleoyl-GPI (18:2)*,NA,NA,NA,NA,NA,NA,1-linoleoyl-GPI (18:2)*,1-linoleoyl-GPI (18:2)*,1-linoleoyl-GPI (18:2)*
1-linoleoyl-GPS (18:2)*#Lipid#Lysophospholipid,1-linoleoyl-GPS (18:2)*,Lipid,Lysophospholipid,NA,NA,NA,1-linoleoyl-GPS (18:2)*,NA,1-linoleoyl-GPS (18:2)*,NA,NA,NA,NA,NA,NA,1-linoleoyl-GPS (18:2)*,1-linoleoyl-GPS (18:2)*,1-linoleoyl-GPS (18:2)*
